lat, lon, rep_date, source, sensor, fwi, fuel, ros, sfc, tfc, bfc, hfi, estarea
55.32,-102.76,2017-09-12 01:19:00,NOAA,AVHRR,17.924,M1,2.42813,2.46025,2.46025,4.04484,1792,39.92
55.19,-103.1,2017-09-12 01:19:00,NOAA,AVHRR,24.613,C2,7.97326,3.76452,4.41252,4.2649,10555,42.33
55.17,-103.15,2017-09-12 01:19:00,NOAA,AVHRR,25.098,D1,0.279408,1.33836,1.33836,4.2707,112,32.47
55.18,-103.11,2017-09-12 01:19:00,NOAA,AVHRR,24.921,C2,8.10387,3.78618,4.43418,4.2791,10780,42.33
55.16,-103.07,2017-09-12 01:19:00,NOAA,AVHRR,24.867,C2,8.13141,3.76599,4.42199,4.26286,10787,42.33
55.19,-102.12,2017-09-12 01:19:00,NOAA,AVHRR,12.183,C2,2.99524,2.96881,3.26481,3.5048,2934,42.33
55.19,-102.11,2017-09-12 01:19:00,NOAA,AVHRR,12.159,C2,2.97634,2.97509,3.27109,3.50536,2921,42.33
54.9,-102.46,2017-09-12 01:19:00,NOAA,AVHRR,19.861,C2,5.98978,3.44591,3.99791,3.84062,7184,42.33
54.87,-102.4,2017-09-12 01:19:00,NOAA,AVHRR,18.841,C2,5.72741,3.31875,3.85475,3.73615,6623,42.33
54.78,-102.6,2017-09-12 01:19:00,NOAA,AVHRR,22.284,C2,7.22889,3.52607,4.14207,3.89606,8983,42.33
54.78,-102.58,2017-09-12 01:19:00,NOAA,AVHRR,22.043,M1,3.74786,2.41494,2.44294,3.86369,2747,39.92
54.77,-102.58,2017-09-12 01:19:00,NOAA,AVHRR,21.839,D1,0.241513,1.27351,1.27351,3.85131,92,32.47
51.71,-94.99,2017-09-12 01:40:00,NOAA,AVHRR,16.987,O1,0.985064,0.35,0.35,0.232103,103,30.21
51.68,-95.06,2017-09-12 01:40:00,NOAA,AVHRR,17.114,C2,7.9282,2.12065,2.74465,3.42162,6528,46.35
51.69,-95.07,2017-09-12 01:40:00,NOAA,AVHRR,17.119,C2,7.92599,2.12277,2.74677,3.42526,6531,46.35
51.7,-95.07,2017-09-12 01:40:00,NOAA,AVHRR,17.108,C2,7.91311,2.12393,2.74793,3.42724,6523,46.35
51.7,-95.02,2017-09-12 01:40:00,NOAA,AVHRR,17.084,O1,0.518466,0.35,0.35,0.235269,54,30.21
51.71,-95.03,2017-09-12 01:40:00,NOAA,AVHRR,17.044,C2,7.86693,2.12145,2.74545,3.31652,6479,46.35
51.71,-94.97,2017-09-12 02:39:00,NOAA,AVHRR,16.778,C3,2.03866,1.2393,1.2393,3.26723,758,46.35
51.71,-95.04,2017-09-12 02:39:00,NOAA,AVHRR,17.059,C2,7.8762,2.12247,2.74647,3.31708,6490,46.35
51.7,-95.03,2017-09-12 02:39:00,NOAA,AVHRR,17.099,C2,7.882,2.13172,2.75572,3.36031,6516,46.35
51.7,-95.01,2017-09-12 02:39:00,NOAA,AVHRR,17.07,C2,7.86463,2.12948,2.75348,3.35877,6497,46.35
51.72,-94.95,2017-09-12 02:39:00,NOAA,AVHRR,17.006,C3,2.04263,1.29362,1.29362,3.35836,793,46.35
52.73,-96.33,2017-09-12 02:39:00,NOAA,AVHRR,19.054,C3,2.26107,1.67954,1.67954,3.75388,1139,42.81
51.71,-94.96,2017-09-12 02:39:00,NOAA,AVHRR,16.712,O1,0.515424,0.35,0.35,0.227549,54,30.21
51.7,-95.02,2017-09-12 02:39:00,NOAA,AVHRR,17.084,O1,0.518466,0.35,0.35,0.235269,54,30.21
51.72,-94.99,2017-09-12 02:39:00,NOAA,AVHRR,16.976,O1,0.516184,0.35,0.35,0.232216,54,30.21
51.72,-95.02,2017-09-12 02:39:00,NOAA,AVHRR,17.017,O1,0.517597,0.35,0.35,0.232336,54,30.21
49.66,-99.44,2017-09-12 02:39:00,NOAA,AVHRR,40.652,O1,1.22618,0.35,0.35,0.309078,129,17.14
